id	name_before	name_after	quote_before	quote_after	source_before	source_after	reason	confidence
statesman_themistocles	Фемистокл	Фемистокл	«Город — это люди, а не стены и корабли без людей»	«Пока у нас есть двести кораблей с экипажами, у афинян есть и город, и земля, больше ваших»	Фукидид. История Пелопоннесской войны. Книга номер один. Раздел номер сто сорок три.	Геродот. История. Книга восемь. Глава шестьдесят один.	Прежняя фраза взята из речи Перикла у Фукидида 1.143 и была ошибочно приписана Фемистоклу. Поставлена речь Фемистокла у Геродота 8.61.	средняя: античный текст надёжен, но речь литературно обработана
statesman_agrippa	Марк Випсаний Агриппа	Марк Випсаний Агриппа	«Не взяв ничего из государственной казны, он восстановил все общественные здания и все улицы»	«Не взяв ничего из государственной казны, он восстановил все общественные здания и все улицы»	Дион Кассий. Римская история. Книга сорок девять. Сорок три. Один	Дион Кассий. Римская история. Книга сорок девять. Глава сорок три. Пункт один.	Сохранён прямой фрагмент Диона Кассия; уточнено обозначение книги, главы и пункта.	высокая
statesman_nerva	Марк Кокцей Нерва	Марк Кокцей Нерва	«Я усыновляю Марка ульпия Нерву Траяна»	«Я усыновляю Марка Ульпия Нерву Траяна»	Дион Кассий. Римская история. Книга шестьдесят восемь. Три. Один	Дион Кассий. Римская история. Книга шестьдесят восемь. Глава три. Пункт четыре.	Исправлены падеж имени Ульпия и точная ссылка на Дион Кассий 68.3.4.	средняя: античный текст надёжен, но речь литературно обработана
statesman_trajan	Траян	Траян	«Бери этот меч; если я буду править хорошо, за меня, если дурно, против меня»	«Бери этот меч: если я буду править хорошо, употреби его за меня; если дурно — против меня»	Дион Кассий. Римская история. Книга номер шестьдесят восемь. Раздел номер шестнадцать.	Дион Кассий. Римская история. Книга шестьдесят восемь. Глава шестнадцать. Пункт два.	Фраза сохранена, но приведена ближе к тексту Диона Кассия и снабжена точным пунктом 68.16.2.	средняя: античный текст надёжен, но речь литературно обработана
statesman_hadrian	Адриан	Адриан	«Я буду управлять государством так, чтобы люди знали: оно принадлежит не мне, а народу»	«Я буду управлять государством так, чтобы люди знали: оно принадлежит не мне, а народу»	История Августов. Жизнь Адриана. Восемь. Три.	История Августов. Жизнь Адриана. Глава восемь. Пункт три.	Сохранён засвидетельствованный текст; ссылка приведена к стандартному виду SHA, Hadrian 8.3.	средняя: античный текст надёжен, но речь литературно обработана
general_scipio	Сципион Африканский	Сципион Африканский	«он никогда не приступал ни к одному общественному или частному предприятию, не сходив прежде на Капитолий»	«Он никогда не приступал ни к одному общественному или частному делу, не сходив прежде на Капитолий»	Тит Ливий. История Рима от основания города. Книга двадцать шесть. Девятнадцать	Тит Ливий. История Рима от основания города. Книга двадцать шесть. Глава девятнадцать. Пункт пять.	Исправлены регистр, формулировка и точная ссылка на Ливия 26.19.5.	высокая
general_hannibal	Ганнибал Барка	Ганнибал Барка	«Перед вами уже лежит Италия; переходя Альпы, вы переходите стены не только Италии, но и самого Рима»	«Перед вами уже лежит Италия; переходя Альпы, вы взбираетесь на стены не только Италии, но и самого Рима»	Тит Ливий. История Рима от основания города. Книга двадцать один. Тридцать.	Тит Ливий. История Рима от основания города. Книга двадцать один. Глава тридцать пять. Пункт восемь.	В исходнике была неверная глава 21.30. Фрагмент находится в литературной речи Ганнибала у Ливия 21.35.8.	средняя: античный текст надёжен, но речь литературно обработана
general_germanicus	Германик	Германик	«Поразите лучше меня: для меня легче умереть, чем стать свидетелем позора»	«Он заявил, что скорее умрёт, чем отступит от верности»	Тацит. анналы. Книга один. Тридцать пять	Тацит. Анналы. Книга один. Глава тридцать пять.	Предыдущая реплика не соответствовала тексту Тацита. Поставлен близкий перевод прямого авторского сообщения Annales 1.35.	высокая
general_belisarius	Велизарий	Велизарий	«Военная доблесть измеряется не числом сражающихся, но их порядком и храбростью»	«Войну решают не число людей и не величина тел, а доблесть души»	Прокопий Кесарийский. Войны. Война с вандалами. Книга два. Шестнадцать. Двадцать девять	Прокопий Кесарийский. Войны. Война с вандалами. Книга два. Глава три. Пункт шестнадцать.	Заменена свободная формулировка на близкий перевод речи Велизария у Прокопия, Vandal War 2.3.16.	средняя: античный текст надёжен, но речь литературно обработана
general_agrippa_general	Марк Випсаний Агриппа	Марк Випсаний Агриппа	«Вариус воспоёт тебя, Агриппа, отважного победителя, на крыльях гомеровской песни»	«Варий воспоёт тебя, Агриппа, отважного победителя, на крыльях гомеровской песни»	Гораций. оды. Книга один. Шесть. Один — два	Гораций. Оды. Книга один. Ода шесть. Строки с первой по вторую.	Исправлено имя поэта Вария и нормализована ссылка на Горация, Оды 1.6.1–2.	высокая
philosopher_pythagoras	Пифагор	Пифагор	«Они полагали элементы чисел элементами всех вещей, а всё небо — гармонией и числом»	«Они полагали элементы чисел элементами всех вещей, а всё небо — гармонией и числом»	Аристотель. Метафизика. Книга один. Пять. Девятьсот восемьдесят шесть. Буква а	Аристотель. Метафизика. Книга один. Глава пять. Девятьсот восемьдесят шесть. Буква а.	Уточнено, что это прямой фрагмент Аристотеля о пифагорейцах, а не собственные слова Пифагора.	средняя: это свидетельство об авторе, не его собственные слова
philosopher_philo	Филон Александрийский	Филон Александрийский	«Моисей поставил в начале законодательства изложение сотворения мира»	«Моисей начал законы с рассказа о сотворении мира, полагая, что закон соответствует миру, а мир — закону»	Филон Александрийский. О сотворении мира. Три	Филон Александрийский. О сотворении мира. Глава три.	Заменён сокращённый пересказ на более полный близкий перевод аргумента Филона в разделе 3.	высокая
engineer_витрувий	Витрувий	Витрувий	«Постройки должны отвечать трём требованиям: прочности, пользе и красоте»	«Постройки должны отвечать трём требованиям: прочности, пользе и красоте»	Витрувий. Десять книг об архитектуре. Книга один. Три. Два.	Витрувий. Десять книг об архитектуре. Книга один. Глава три. Пункт два.	Сохранена подлинная трёхчленная формула Витрувия; нормализована ссылка 1.3.2.	высокая
engineer_герон_александрийский	Герон Александрийский	Герон Александрийский	«от соединения воздуха, земли, огня и воды возникают различные явления»	«От соединения воздуха, земли, огня и воды возникают различные сочетания»	Герон Александрийский. Пневматика. Введение	Герон Александрийский. Пневматика. Введение.	Исправлена прописная буква и формулировка приближена к вступлению Герона.	высокая
engineer_аполлодор_дамасский	Аполлодор Дамасский	Аполлодор Дамасский	«Траян построил через истр каменный мост, которым я не знаю как достаточно восхищаться»	«Траян построил через Истр каменный мост, которым я не могу достаточно восхищаться»	Дион Кассий. Римская история. Книга шестьдесят восемь. Тринадцать. Один	Дион Кассий. Римская история. Книга шестьдесят восемь. Глава тринадцать. Пункт один.	Исправлены название реки, синтаксис и точная ссылка Дион Кассий 68.13.1.	высокая
engineer_ктесибий	Ктесибий	Ктесибий	«Ктесибий Александрийский обнаружил природные свойства давления воздуха и воды»	«Ктесибий Александрийский открыл естественное давление воздуха и начала пневматики»	Витрувий. Десять книг об архитектуре. Книга десять. Семь. Один	Витрувий. Десять книг об архитектуре. Книга девять. Глава восемь. Пункт два.	Исправлена ошибочная ссылка 10.7.1: фрагмент находится у Витрувия 9.8.2.	высокая
engineer_гипподам_милетский	Гипподам Милетский	Гипподам Милетский	«Гипподам, сын Эврифонта, из Милета, изобрёл планировку городов и распланировал Пирей»	«Гипподам, сын Эврифонта из Милета, изобрёл разделение городов на кварталы и распланировал Пирей»	Аристотель. Политика. Книга два. Восемь. Одна тысяча двести шестьдесят семь. Буква бэ	Аристотель. Политика. Книга два. Глава восемь. Одна тысяча двести шестьдесят семь. Буква бэ.	Формулировка приведена ближе к Аристотелю, Политика 1267b22–24.	высокая
engineer_динократ_родосский	Динократ Родосский	Динократ Родосский	«Я, македонский архитектор, предлагаю обратить Афон в статую мужа: в левой руке он будет держать город, в правой — чашу с водами горы»	«Я задумал придать горе Афон образ мужчины: в левой руке он будет держать укреплённый город, в правой — чашу, принимающую воды горы»	Витрувий. Десять книг об архитектуре. Книга два. Предисловие. Два	Витрувий. Десять книг об архитектуре. Книга два. Предисловие. Пункт два.	Свободный пересказ заменён близким переводом представленной у Витрувия речи Динократа.	средняя: античный текст надёжен, но речь литературно обработана
engineer_филон_византийский	Филон Византийский	Филон Византийский	«Величина каждой метательной машины определяется диаметром отверстия, в котором помещается пружина»	«Диаметр отверстия, в котором помещается пружина, служит исходной мерой метательной машины»	Филон Византийский. Белопоэтика. Пятьдесят	Филон Византийский. Белопоэтика. Раздел о размерах метательных машин.	Заменена сглаженная фраза на точнее переданный принцип из Белопоэтики: базовой мерой служит диаметр отверстия для пучка жил.	высокая
engineer_метон_афинский	Метон Афинский	Метон Афинский	«Метон в Афинах обнародовал девятнадцатилетний цикл, по которому лунные месяцы возвращаются в согласие с солнечным годом»	«Метон, сын Павсания, обнародовал в Афинах так называемый девятнадцатилетний цикл»	Диодор Сицилийский. Историческая библиотека. Книга двенадцать. Тридцать шесть	Диодор Сицилийский. Историческая библиотека. Книга двенадцать. Глава тридцать шесть. Пункт два.	Убрано современное объяснение согласования лунного и солнечного года; поставлен близкий текст Диодора 12.36.2.	высокая
engineer_евпалинид_самосский	Евпалинид Самосский	Евпалин Мегарский	«На Самосе есть тоннель, прорубленный сквозь гору, работа Евпалина из Мегары»	«Через основание холма прорыт двусторонний тоннель; его строителем был Евпалин, сын Навстрофа, мегарянин»	Геродот. История. Книга номер три. Раздел номер шестьдесят.	Геродот. История. Книга три. Глава шестьдесят.	Исправлено ошибочное имя «Евпалинид Самосский»: Геродот называет строителем Евпалина, сына Навстрофа, мегарянина.	высокая
merchant_тит_помпоний_аттик	Тит Помпоний Аттик	Тит Помпоний Аттик	«он был любителем истины и не переносил лжи; притворства он не умел и не мог делать ничего недостойного»	«Сам он никогда не говорил неправды и не терпел её в других»	Корнелий Непот. аттик. Пятнадцать	Корнелий Непот. Аттик. Глава пятнадцать. Пункт один.	Заменён расширенный пересказ на близкий перевод Nepos, Atticus 15.1.	высокая
merchant_гай_рабирий_постум	Гай Рабирий Постум	Гай Рабирий Постум	«он вверил значительную часть своего состояния царю и принял на себя риск, связанный с возвращением долга»	«Он отдал своё прекрасно устроенное состояние во власть и на произвол царя»	Цицерон. В защиту Рабирия Постума. Четыре — пять	Цицерон. В защиту Рабирия Постума. Глава один.	Заменён современный финансовый пересказ на формулировку Цицерона из начала речи.	высокая
merchant_деметрий_фалерский	Деметрий Фалерский	Деметрий Фалерский	«он управлял городом десять лет, установил законы и каждый год избирался архонтом»	«Своими речами в афинском собрании он десять лет удерживал высшую власть в государстве»	Диоген Лаэртский. О жизни философов. Книга пять. Семьдесят пять	Диоген Лаэртский. О жизни, учениях и изречениях знаменитых философов. Книга пять. Глава семьдесят пять.	Удалены не подтверждённые источником слова об ежегодном архонтстве и установлении законов; поставлен текст Диогена Лаэртского 5.75.	высокая
merchant_никанор_стагирит	Никанор Стагирит	Никанор Стагирит	«Назначаю Никанора опекуном; пусть Никанор позаботится о моей дочери согласно завещанию»	«Когда девушка достигнет брачного возраста, её следует выдать за Никанора; если же с ней что-нибудь случится, Никанор пусть распорядится всем достойным образом»	Диоген Лаэртский. О жизни философов. Книга пять. Двенадцать; завещание Аристотеля	Диоген Лаэртский. О жизни, учениях и изречениях знаменитых философов. Книга пять. Глава двенадцать. Завещание Аристотеля.	Исправлено содержание завещания: исполнителем был Антипатр, а Никанору предназначалась дочь Аристотеля и доверялось распоряжение в оговорённом случае.	высокая
merchant_гай_цильний_меценат	Гай Цильний Меценат	Гай Цильний Меценат	«Меценат, потомок царственных предков, моя защита и сладкая слава»	«Меценат, потомок царственных предков, моя защита и сладкая слава»	Гораций. оды. Книга один. Один. Один — два	Гораций. Оды. Книга один. Ода один. Строки с первой по вторую.	Сохранён подлинный текст Горация; нормализовано обозначение оды и строк.	высокая
merchant_публий_ведий_поллион	Публий Ведий Поллион	Публий Ведий Поллион	«Разбейте все драгоценные кубки, засыпьте пруд и отпустите раба»	«Август велел разбить все хрустальные сосуды, засыпать пруд и отпустить раба»	Сенека. О гневе. Книга три. Сорок. Слова августа в доме Ведия Поллиона	Сенека. О гневе. Книга три. Глава сорок. Пункт четыре.	Императивная реплика была выдана за прямые слова Августа, хотя Сенека передаёт действие повествовательно. Возвращена форма источника.	высокая
merchant_луций_корнелий_бальб	Луций Корнелий Бальб	Луций Корнелий Бальб	«Нет ни одного народа на земле, с которым нам запрещено даровать римское гражданство»	«Нет на всём свете ни одного народа — ни враждебного, ни дружественного, — который запрещал бы нам принять кого-либо из его граждан»	Цицерон. В защиту Бальба. Тридцать один	Цицерон. В защиту Бальба. Глава тридцать один.	Фраза приведена ближе к аргументу Цицерона в Pro Balbo 31.	высокая
merchant_герод_аттик	Герод Аттик	Герод Аттик	«он украшал Элладу храмами, стадионами и водопроводами, превосходившими всякие ожидания»	«Он посвятил Афинам театр, Пифийскому богу — стадион, Зевсу в Олимпии — водопровод, а у Фермопил — целебные купальни»	Филострат. Жизни софистов. Книга два. Один	Филострат. Жизни софистов. Книга два. Герод Аттик.	Обобщённый пересказ заменён конкретным перечнем даров Герода Аттика у Филострата.	высокая
merchant_зенон_каунский	Зенон Каунский	Зенон Каунский	«Спустись в Эмпорий и разгрузи прибывшее оливковое масло; найди надёжный склад и поставь слуг охранять его»	«Спустись в Эмпорий и разгрузи прибывшее оливковое масло. Получи у Гегемона самый надёжный склад и поставь слуг охранять его до нашего прибытия»	Папирус Пи Кэйр Зенон. Пятьдесят девять тысяч пятьсот восемьдесят три. Письмо Аполлония Зенону. Двести пятьдесят седьмой год до нашей эры	Папирус Пи Кэйр Зенон. Номер пятьдесят девять тысяч пятьсот восемьдесят три. Письмо Аполлония Зенону. Двести пятьдесят седьмой год до нашей эры.	Фрагмент папируса расширен до точного хозяйственного распоряжения и снабжён полным номером документа.	высокая
agronomist_магон_карфагенский	Магон Карфагенский	Магон Карфагенский	«Сенат приказал перевести на латинский язык двадцать восемь книг Магона»	«Сенат постановил, чтобы одни лишь двадцать восемь книг Магона были переведены на латинский язык»	Плиний Старший. Естественная история. Книга восемнадцать. Двадцать два	Плиний Старший. Естественная история. Книга восемнадцать. Глава двадцать два.	Формулировка приведена ближе к сообщению Плиния о постановлении сената.	высокая
agronomist_сасерна	Сасерна	Сасерна	«Сасерна, отец и сын, писали о земледелии; Варрон называет их среди наших предшественников»	«Из наших предшественников писали Катон, два Сасерны — отец и сын, и Тремеллий Скрофа»	Варрон. О сельском хозяйстве. Книга один. Два	Варрон. О сельском хозяйстве. Книга один. Глава два.	Современный комментарий о тематике трудов заменён прямым перечислением предшественников у Варрона.	высокая
agronomist_палладий	Палладий	Палладий	«Годовой круг работ разделён по месяцам: каждому месяцу положены дела, свойственные его времени»	«Присутствие хозяина — процветание поля»	Палладий. О сельском хозяйстве. Книга один. Шесть	Палладий. О сельском хозяйстве. Книга один. Глава шесть. Пункт один.	Месячный календарь был передан современным резюме. Поставлена краткая подлинная формула Палладия 1.6.1.	высокая
agronomist_феофраст	Феофраст	Феофраст	«Части растения — корень, стебель, ветви, побеги, листья, цветок и плод»	«Главные и наиболее общие части растения — корень, стебель, ветвь и побег»	Феофраст. Исследование о растениях. Книга один. Один — два	Феофраст. Исследование о растениях. Книга один. Глава один. Пункт два.	Перечень сокращён и приведён ближе к началу первой книги Феофраста.	высокая
agronomist_анатолий_беритский	Анатолий Беритский	Винданий Анатолий Беритский	«Земледелие есть мать и кормилица прочих искусств»	«Эта книга полезна для обработки земли и сельских работ и, пожалуй, полезнее всех сочинений на эту тему»	Геопоники. Книга один. Предисловие	Фотий. Библиотека. Кодекс сто шестьдесят три. Отзыв о земледельческом собрании Анатолия.	Прежняя фраза принадлежала традиции Ксенофонта и была ошибочно приписана Анатолию. Его труд утрачен; использовано прямое древневизантийское свидетельство Фотия.	средняя: оригинал утрачен, используется позднее древнее свидетельство
admiral_гай_дуилий	Гай Дуилий	Гай Дуилий	«Консул Гай Дуилий первым совершил успешное дело на море и захватил корабли карфагенян»	«Консул Гай Дуилий первым успешно сражался на море и захватил корабли карфагенян»	Надпись на Ростральной колонне Гая Дуилия. Цэ и эль. Том один. Часть два. Запись двадцать пять	Надпись на Ростральной колонне Гая Дуилия. Цэ и эль. Том один. Часть два. Номер двадцать пять.	Формулировка приближена к сохранившейся Ростральной надписи; это документ, а не поздний художественный пересказ.	средняя: надпись повреждена и частично реконструирована
admiral_агриппа	Агриппа	Агриппа	«Вариус воспоёт тебя, Агриппа, отважного победителя, воспарив гомеровским крылом»	«Варий воспоёт тебя, Агриппа, отважного победителя, на крыльях гомеровской песни»	Гораций. оды. Книга один. Шесть	Гораций. Оды. Книга один. Ода шесть. Строки с первой по вторую.	Исправлено имя Вария и нормализована ссылка на Оды 1.6.1–2.	высокая
admiral_кимон_афинский	Кимон Афинский	Кимон Афинский	«он сделал союзников ещё преданнее, смягчая страх благодеяниями»	«Благодеяниями и человечным обращением Кимон отнял у Павсания начальство над греками — не оружием, а речью и характером»	Плутарх. Кимон. Восемь	Плутарх. Кимон. Глава шесть. Пункты со второго по третий.	Неточная ссылка и свободный пересказ заменены близким текстом Плутарха, Кимон 6.2–3.	высокая
admiral_конон_афинский	Конон Афинский	Конон Афинский	«Конон с девятью кораблями прибыл на Кипр к Эвагору»	«Конон со своим кораблём и семью другими отплыл к Эвагору на Кипр, а Парал — в Афины с вестью о случившемся»	Ксенофонт. Греческая история. Книга два. Один. Двадцать девять	Ксенофонт. Греческая история. Книга два. Глава один. Пункт двадцать девять.	Исправлено число кораблей и добавлена судьба «Парала» по Ксенофонту 2.1.29.	высокая
admiral_деметрий_полиоркет	Деметрий Полиоркет	Деметрий Полиоркет	«он построил пятнадцатирядный и шестнадцатирядный корабль невиданной величины»	«До того времени никто не видел корабля с пятнадцатью или шестнадцатью рядами вёсел»	Плутарх. Деметрий. Сорок три	Плутарх. Деметрий. Глава сорок три. Пункт четыре.	Фраза о постройке одного корабля была неточной. Поставлен прямой авторский текст Плутарха 43.4.	высокая
admiral_гней_помпей	Гней Помпей	Гней Помпей	«В сорок дней он очистил Тирренское море; затем пираты исчезли отовсюду»	«За сорок дней он совершенно очистил от пиратов Тирренское и Ливийское моря и воды у Сардинии, Корсики и Сицилии»	Плутарх. Помпей. Двадцать семь — двадцать восемь	Плутарх. Помпей. Глава двадцать семь. Пункт четыре.	Удалено добавление «затем пираты исчезли отовсюду», которого нет у Плутарха; оставлен точный перечень морей.	высокая
diplomat_гай_цильний_меценат	Гай Цильний Меценат	Гай Цильний Меценат	«Не позволяй никому стать богатством или властью опасным государству»	«Не устраняй ни одного достойного человека из-за бедности; напротив, дай ему необходимое содержание»	Дион Кассий. Римская история. Книга пятьдесят два. Речь Мецената	Дион Кассий. Римская история. Книга пятьдесят два. Глава девятнадцать. Пункт два.	Обобщённый тезис заменён конкретным фрагментом литературной речи Мецената у Диона Кассия.	средняя: античный текст надёжен, но речь литературно обработана
diplomat_николай_дамасский	Николай Дамасский	Николай Дамасский	«Октавий был по природе кроток, справедлив и доступен для приходивших к нему с делами»	«Сначала оружием, а затем и без оружия, привлекая людей по доброй воле и убеждая их благожелательностью, он побудил их повиноваться»	Николай Дамасский. Жизнь августа. Фрагменты	Николай Дамасский. Жизнь Августа. Глава один.	Неясное описание характера Октавия заменено фрагментом первой главы Николая Дамасского.	высокая
diplomat_поппей_ленат	Поппей Ленат	Гай Попилий Ленат	«Письмо Тиберия требовало ответа от самого Германика: он должен был вернуться в Рим»	«Прежде чем ты выйдешь из этого круга, дай мне ответ, который я передам сенату»	Тацит. анналы. Книга два. Слова императорского послания	Тит Ливий. История Рима от основания города. Книга сорок пять. Глава двенадцать. Пункт пять.	Персонаж был ошибочно назван «Поппеем Ленатом» и связан с посланием Тиберия. Исправлено на дипломата Гая Попилия Лената и его знаменитое требование Антиоху IV у Ливия 45.12.5.	средняя: античный текст надёжен, но речь литературно обработана
diplomat_птолемей_ii_филадельф	Птолемей II Филадельф	Птолемей II Филадельф	«Сколько тысяч книг собрано? — Более двухсот тысяч, царь; постараюсь довести число до пятисот тысяч»	«Сколько тысяч книг собрано? — Более двухсот тысяч, царь; постараюсь довести число до пятисот тысяч»	Письмо Аристея. Девять — десять; беседа Птолемея и Деметрия Фалерского	Письмо Аристея. Главы с девятой по десятую. Беседа Птолемея и Деметрия Фалерского.	Текст сохранён, но помечен как рассказ древнего псевдоэпиграфического «Письма Аристея», а не стенографическая беседа.	средняя: текст древний, но диалог не историческая стенограмма
jurist_сервий_сульпиций_руф	Сервий Сульпиций Руф	Сервий Сульпиций Руф	«Сервий Сульпиций превзошёл всех предшественников в знании гражданского права»	«В гражданском праве Сервий приобрёл бесспорное превосходство»	Цицерон. Брут. Сорок один	Цицерон. Брут. Глава сто пятьдесят пять.	Исправлена ошибочная ссылка «Брут, 41» и поставлен близкий текст Цицерона, Brutus 155.	высокая
architect_рабирий	Рабирий	Рабирий	«Рабирий поднял своды дворца к звёздам: казалось, дворец касался неба»	«Ты объял звёзды и небо благочестивым умом, Рабирий: с дивным искусством ты возводишь Палатинский дворец»	Марциал. Эпиграммы. Книга семь. Пятьдесят шесть	Марциал. Эпиграммы. Книга семь. Эпиграмма пятьдесят шесть.	Современная фраза о сводах, касающихся неба, заменена близким переводом самой эпиграммы Марциала 7.56.	высокая
